iter	Passed	Remaining
0	19	1956
1	67	3306
2	120	3907
3	155	3724
4	171	3261
5	188	2946
6	203	2703
7	220	2536
8	239	2421
9	257	2318
10	274	2219
11	289	2123
12	307	2061
13	328	2019
14	344	1952
15	359	1887
16	375	1831
17	392	1787
18	411	1755
19	431	1724
20	451	1699
21	470	1666
22	486	1628
23	504	1598
24	522	1566
25	540	1537
26	559	1514
27	577	1484
28	595	1459
29	614	1432
30	630	1403
31	648	1377
32	664	1350
33	684	1328
34	702	1304
35	719	1279
36	741	1262
37	759	1239
38	782	1223
39	801	1202
40	820	1180
41	844	1165
42	862	1142
43	882	1123
44	902	1102
45	921	1081
46	938	1058
47	958	1038
48	977	1017
49	997	997
50	1014	975
51	1035	955
52	1056	937
53	1071	912
54	1091	892
55	1108	871
56	1125	849
57	1143	828
58	1161	807
59	1182	788
60	1196	765
61	1214	744
62	1233	724
63	1255	706
64	1273	685
65	1290	664
66	1310	645
67	1325	623
68	1340	602
69	1355	580
70	1371	560
71	1387	539
72	1404	519
73	1422	499
74	1438	479
75	1455	459
76	1471	439
77	1486	419
78	1503	399
79	1520	380
80	1536	360
81	1551	340
82	1569	321
83	1589	302
84	1605	283
85	1622	264
86	1638	244
87	1663	226
88	1681	207
89	1697	188
90	1713	169
91	1729	150
92	1747	131
93	1764	112
94	1780	93
95	1798	74
96	1812	56
97	1824	37
98	1841	18
99	1850	0
